Ap1,Ap3,Ap4,Ap5,Ap6,Ap8,Ap11,Ap12,Ap13,Ap14,Ap16,Ap19,Ap22,Ap23,Ap24,Ap27,Ap29,Ap34,Ap35,Ap38,Ap39,Ap41,Ap43,Ap45,Ap48,Ap49,Ap50,Ap56,Ap60,Ap66,Ap70,Ap74,Ap76,Ap78,Ap79,Ap85,Ap87,Ap93,Ap102,Ap104,Ap110,Ap112,Ap114,Ap117,Ap120,Ap122,Ap129,Ap131,Ap132,zona
-87.0,-61.0,-65.0,-78.0,-82.0,-76.0,-53.0,-80.0,-84.0,-69.0,-82.0,-85.0,-80.0,-80.0,-85.0,-100.0,-93.0,-100.0,-100.0,-100.0,-100.0,-91.0,-100.0,-86.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,4.0
-87.0,-61.0,-65.0,-78.0,-82.0,-76.0,-53.0,-80.0,-84.0,-69.0,-82.0,-85.0,-80.0,-80.0,-85.0,-100.0,-93.0,-100.0,-100.0,-100.0,-100.0,-91.0,-100.0,-86.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,4.0
-87.0,-56.0,-64.0,-78.0,-82.0,-76.0,-52.0,-80.0,-86.0,-69.0,-82.0,-85.0,-81.0,-80.0,-85.0,-100.0,-93.0,-100.0,-88.0,-100.0,-100.0,-91.0,-100.0,-86.0,-90.0,-100.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,4.0
-88.0,-52.0,-62.0,-78.0,-83.0,-100.0,-55.0,-79.0,-100.0,-67.0,-81.0,-87.0,-81.0,-80.0,-86.0,-100.0,-100.0,-82.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,4.0
-88.0,-52.0,-78.0,-78.0,-76.0,-100.0,-56.0,-80.0,-100.0,-74.0,-81.0,-79.0,-81.0,-83.0,-79.0,-100.0,-100.0,-82.0,-89.0,-100.0,-100.0,-93.0,-100.0,-90.0,-100.0,-90.0,-76.0,-93.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,4.0
-88.0,-52.0,-78.0,-78.0,-76.0,-100.0,-56.0,-80.0,-100.0,-74.0,-81.0,-79.0,-81.0,-83.0,-79.0,-100.0,-100.0,-82.0,-89.0,-100.0,-100.0,-93.0,-100.0,-90.0,-100.0,-90.0,-76.0,-93.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,4.0
-88.0,-52.0,-78.0,-78.0,-76.0,-100.0,-56.0,-80.0,-100.0,-74.0,-81.0,-79.0,-81.0,-83.0,-79.0,-100.0,-100.0,-82.0,-89.0,-100.0,-100.0,-93.0,-100.0,-90.0,-100.0,-90.0,-76.0,-93.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,4.0
-88.0,-60.0,-65.0,-78.0,-79.0,-81.0,-56.0,-80.0,-79.0,-71.0,-79.0,-83.0,-81.0,-83.0,-83.0,-100.0,-100.0,-78.0,-88.0,-100.0,-100.0,-93.0,-100.0,-86.0,-100.0,-90.0,-76.0,-93.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,5.0
-88.0,-60.0,-63.0,-78.0,-81.0,-81.0,-58.0,-80.0,-79.0,-67.0,-79.0,-87.0,-79.0,-83.0,-86.0,-100.0,-100.0,-81.0,-88.0,-100.0,-100.0,-93.0,-100.0,-86.0,-100.0,-90.0,-76.0,-93.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,5.0
-88.0,-60.0,-63.0,-78.0,-81.0,-81.0,-58.0,-80.0,-79.0,-67.0,-79.0,-87.0,-79.0,-83.0,-86.0,-100.0,-100.0,-81.0,-88.0,-100.0,-100.0,-93.0,-100.0,-86.0,-100.0,-90.0,-76.0,-93.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,5.0
